"Date","Reported","Cumulative_Rep","Symptoms","Cumulative_Sym","Deaths","Cumulative_Dea"
"2020-02-22","0","0","1","1","0","0"
"2020-02-23","0","0","1","2","0","0"
"2020-02-24","0","0","0","2","0","0"
"2020-02-25","0","0","0","2","0","0"
"2020-02-26","0","0","0","2","0","0"
"2020-02-27","2","2","0","2","0","0"
"2020-02-28","0","2","2","4","0","0"
"2020-02-29","0","2","1","5","0","0"
"2020-03-01","0","2","2","7","0","0"
"2020-03-02","0","2","4","11","0","0"
"2020-03-03","0","2","3","14","0","0"
"2020-03-04","1","3","3","17","0","0"
"2020-03-05","1","4","2","19","0","0"
"2020-03-06","0","4","6","25","0","0"
"2020-03-07","1","5","9","34","0","0"
"2020-03-08","1","6","5","39","0","0"
"2020-03-09","0","6","19","58","0","0"
"2020-03-10","3","9","22","80","0","0"
"2020-03-11","13","22","21","101","0","0"
"2020-03-12","18","40","15","116","0","0"
"2020-03-13","24","64","32","148","0","0"
"2020-03-14","22","86","33","181","0","0"
"2020-03-15","10","96","35","216","0","0"
"2020-03-16","27","123","42","258","0","0"
"2020-03-17","33","156","23","281","0","0"
"2020-03-18","30","186","24","305","0","0"
"2020-03-19","39","225","31","336","0","0"
"2020-03-20","24","249","52","388","0","0"
"2020-03-21","12","261","19","407","0","0"
"2020-03-22","9","270","28","435","1","1"
"2020-03-23","25","295","47","482","1","2"
"2020-03-24","34","329","45","527","0","2"
"2020-03-25","25","354","46","573","1","3"
"2020-03-26","50","404","79","652","3","6"
"2020-03-27","38","442","58","710","4","10"
"2020-03-28","49","491","60","770","1","11"
"2020-03-29","35","526","51","821","2","13"
"2020-03-30","75","601","102","923","4","17"
"2020-03-31","50","651","75","998","7","24"
"2020-04-01","56","707","127","1125","5","29"
"2020-04-02","72","779","109","1234","5","34"
"2020-04-03","78","857","104","1338","7","41"
"2020-04-04","57","914","119","1457","6","47"
"2020-04-05","53","967","127","1584","4","51"
"2020-04-06","117","1084","148","1732","15","66"
"2020-04-07","128","1212","145","1877","11","77"
"2020-04-08","125","1337","158","2035","6","83"
"2020-04-09","131","1468","175","2210","17","100"
"2020-04-10","151","1619","293","2503","24","124"
"2020-04-11","113","1732","200","2703","22","146"
"2020-04-12","112","1844","207","2910","11","157"
"2020-04-13","271","2115","278","3188","16","173"
"2020-04-14","236","2351","263","3451","25","198"
"2020-04-15","227","2578","348","3799","22","220"
"2020-04-16","246","2824","307","4106","25","245"
"2020-04-17","322","3146","352","4458","19","264"
"2020-04-18","193","3339","385","4843","25","289"
"2020-04-19","184","3523","343","5186","31","320"
"2020-04-20","443","3966","604","5790","35","355"
"2020-04-21","435","4401","356","6146","41","396"
"2020-04-22","401","4802","367","6513","29","425"
"2020-04-23","348","5150","389","6902","38","463"
"2020-04-24","513","5663","460","7362","46","509"
"2020-04-25","256","5919","465","7827","64","573"
"2020-04-26","223","6142","404","8231","57","630"
"2020-04-27","486","6628","545","8776","50","680"
"2020-04-28","534","7162","471","9247","41","721"
